source,listing_url,title,price_lkr,address,bedrooms,bathrooms,house_sqft,land_perches,posted_on_text,sublocation,district,description_raw
ikman.lk,https://ikman.lk/en/ad/2-storey-4br-spacious-house-for-rent-ratmalana-hr102-for-rent-colombo-57,2-Storey 4BR Spacious House for Rent – Ratmalana [HR102],180000,"Ratmalana, Ratmalana, Colombo",4,3,2800,20,Posted on 07 May 7:36 am,Ratmalana,Colombo,"🏡 2-Storey 4BR Spacious House for Rent – Ratmalana (Off Attidiya Rd) [HR102]  💰 Rs. 180,000 per month | 6 Months Advance  Well-maintained 2-storey house in a peaceful residential area.  🔹 4 Bedrooms  🔹 3 Attached Bathrooms  🔹 2 Living Halls  🔹 20 Perches Land  🔹 2800 sq ft  🔹 3 Covered + 2 Open Parking  🔹 Unfurnished | Non A/C  Ideal for a large family. Easy access to main road & essential facilities.  📞 Contact – Prime Key Holdings  (Serious inquiries only | Viewing by appointment)  Show more"
ikman.lk,https://ikman.lk/en/ad/brand-new-2nd-floor-houses-for-rent-dehiwela-for-rent-colombo,Brand new 2nd floor houses for rent dehiwela,175000,"Dehiwela, Dehiwala, Colombo",4,4,2000,20,Posted on 07 May 7:16 am,Dehiwala,Colombo,"Ref No.20036  Dehiwela,  300 Mtrs to Hill Road, 2nd floor unit of a brand new house on rent. Any comnunity for a small family.  * 2000 sq.ft  • 4 Bedrooms (includes 2 spacious Master Bedrooms).  • Bathrooms: 4 Modern Bathrooms (3 attached + 1 common).  • Living Space: Large, expansive living hall with plenty of natural light and ventilation.  * 5 mnths advance negotiable  * Parking for Garage  * Agent fee is half a month of rent   Show more"
ikman.lk,https://ikman.lk/en/ad/modern-5-bedroom-unfurnished-house-for-rent-in-kalubowila-dehiwala-for-rent-colombo,Modern 5 Bedroom Unfurnished House For Rent In Kalubowila Dehiwala,210000,"School Avenue Kalubowila Dehiwala ( Private road), Dehiwala, Colombo",5,5,4000,8,Posted on 07 May 7:13 am,Dehiwala,Colombo,"🏡Modern 5 Bedroom independent house for rent in School Avenue Kalubowila Dehiwala   Location   📍easy access to Hospital Road Kalubowila   📍Walking distance to Bathia Mawatha Masjid   📍Close to all essential   📍5 Minutes to galle road   📍Good residential place   📍Private road   🔶Property Details   _Ground Floor_  ▪️Large Living area   ▪️1 Spacious bedroom   ▪️1 Bathroom-attached   ▪️Dining area  ▪️Modern dry Kitchen  ▪️Wet Kitchen   ▪️Backyard Space   ▪️Servant bathroom   ▪️Front small Garden   ▪️vehicle parking with Roller shutter gate   _Ist Floor:_  ▪️3 bedrooms   ▪️1 bathrooms Attached   ▪️1 bathroom common   ▪️Spacious Balcony  _2nd Floor:_  ▪️1 Bedroom  ▪️1 Bathroom  ▪️Roof top terrace   ✅Ideal For Families , Office use,etc…  *Rent & Terms*  ✅210,000 per month slightly negotiable   ✅4 months Refundable Deposit  ✅1/2 month agent fees applies  Show more"
ikman.lk,https://ikman.lk/en/ad/upper-floor-for-rent-galle-road-dehiwela-for-rent-colombo,Upper floor for rent Galle Road Dehiwela,45000,"Dehiwela, Dehiwala, Colombo",1,1,700,10,Posted on 07 May 7:07 am,Dehiwala,Colombo,"Ref No.20038  Dehiwela,near No Limit and Arpico,upstair unit on rent. Near Galle Road. Giving for couple.  * 01 BD   * 01 Bath   * Hall  * Kitchen  * NO Parking inside  * Rs 45000.00 fixed  * 6 months advance  * Agent fee is half a month of rent   Show more"
ikman.lk,https://ikman.lk/en/ad/2nd-floor-for-rent-batharamulla-for-rent-colombo,2nd floor for rent batharamulla,125000,"Batharamulla, Battaramulla, Colombo",3,2,1000,12,Posted on 07 May 6:57 am,Battaramulla,Colombo,"Ref No.20045  Battaramulla,Pelawatta,,Lake Road,Akuregoda, second floor on rent.  * 03 BDs with AC  * 02 Baths with hot water  * Maid's room with wash room  * Kitchen Pantry  * Parking  * Rs.125000.00  * 03 months advance  * Agent fee is half a month of rent   Show more"
ikman.lk,https://ikman.lk/en/ad/luxury-house-for-rent-jayanthipura-battaramulla-for-rent-colombo-12,"Luxury House For Rent - Jayanthipura, Battaramulla",450000,"Battaramulla Jayanthipura, Battaramulla, Colombo",4,4,6000,29.96,Posted on 07 May 5:51 am,Battaramulla,Colombo,"Luxury House For Rent - Jayanthipura, Battaramulla   No Furniture Available   - 4 bedroom upstairs house   - Attached bathrooms  - Parking for 4 vehicles  - 30 perch land   - Large front & rear garden   - Roller gate   - AC & Solar Hot water   - Servants quarters   Rent - Rs 450,000/- per month   Key money - 6 months   2 year Contract real estate charge applicable   Residential/Commercial   Show more"
ikman.lk,https://ikman.lk/en/ad/ground-floor-house-for-rent-in-kohuwala-for-rent-colombo-5,Ground Floor House For Rent In Kohuwala,200000,"Kohuwala Nugegoda, Kohuwala, Colombo",3,2,1500,10,Posted on 07 May 5:32 am,Kohuwala,Colombo,"Ground Floor House For Rent In Kohuwala   Monthly Rent :- Rs200,000/=  Negotiable   Located down Field avenue   Ground floor   1500 Sqft  10 Perches  3 Bedrooms  2 Bathrooms  Pantry kitchen   All the rooms with A/C  Hot water available   Parking for 1 car  With separate access and electricity water   Owner living in the upstair   •This property will be not rented for short period  *No Agents Please  Show more"
ikman.lk,https://ikman.lk/en/ad/fully-furnished-house-for-rent-in-atul-kotte-for-rent-colombo-4,Fully Furnished House for Rent in Atul Kotte,200000,"Kotte, Kotte, Colombo",2,1,1000,10,Posted on 07 May 5:29 am,Kotte,Colombo,"Fully Furnished First Floor House for Rent in Atul Kotte   Two Rooms Air-conditioned   Attached Bathroom   Living   Dinning   Pantry   Parking   No one Living on Ground Floor   Rent 200,000 6 months deposit + HALF A MONTH REAL ESTATE CHARGE  Show more"
ikman.lk,https://ikman.lk/en/ad/two-storey-fully-furnished-house-for-rent-in-kotte-for-rent-colombo-7,Two Storey Fully Furnished House for Rent in Kotte,260000,"Kotte, Kotte, Colombo",4,3,3000,10,Posted on 07 May 5:24 am,Kotte,Colombo,"Two Storied Fully Furnished House for Rent in Kotte  Two Storied  Fully Furnished   Four Bedrooms (air conditioned)  Three Washrooms   Living   Dinning   Pantry   Parking   Rent 260,000 3 months deposit+ HALF A MONTH REAL ESTATE CHARGES   Looking for two year contract   Show more"
ikman.lk,https://ikman.lk/en/ad/six-bed-house-for-rent-in-talawatugoda-semi-furnitured-for-rent-colombo-2,SIX BED HOUSE FOR RENT IN TALAWATUGODA SEMI FURNITURED,225000,"Hokandara Thalawathugoda, Talawatugoda, Colombo",6,6,5000,8.5,Posted on 07 May 5:19 am,Talawatugoda,Colombo,"SIX BED HOUSE FOR RENT IN TALAWATUGODA SEMI FURNITURED  ♦️ 3 Storied House for Rent in       Thalawathugoda Semi Furnished   ♦️ Safe and Peaceful Neighborhood   ♦️ Suitable for Working Professional Family or        Office Purposes   ♦️ 5months Refundable Deposit   ♦️ 100m to Hokandara Main Road  ♦️ 300m to Vidura College  ♦️ 5minutes to Thalawathugoda   ♦️ 7minutes to Hokandara Junction   ♦️ 12minites to Athurugiriya Interchange   ♦️ 13minutes to Malabe   ♦️ 6Bedrooms with Ac   ♦️ 6Bathrooms with Hot Water   ♦️ Fully Tiled Floor   ♦️ Living Dining with Pantry with Wet Kitchen   ♦️ Servant Room and Washroom Available   ♦️ Roller Gate Available   ♦️ Parking Space Available   Living Room Furniture not available, Three Beds, Two Wardrobes, one Dressing room, Fridge available)  ♦️ 1/2 MONTH AGENT FEE WILL APPLIED   ♣️ Feel free to call for an appointment or for        more details 📞  Show more"
ikman.lk,https://ikman.lk/en/ad/first-floor-two-bedroom-house-for-rent-in-pita-kotte-for-rent-colombo-9,First Floor Two Bedroom House for Rent in Pita Kotte,115000,"Pitta kotte Talawatugoda Rd, Kotte, Colombo",2,2,800,8,Posted on 07 May 5:16 am,Kotte,Colombo,"🏠 First Floor House for Rent – Pitakotte / Thalawathugoda Road  📍 Thalawathugoda Road, Kotte  📍 Location: On Pitakotte – Thalawathugoda Road (Only 1 km from Pitakotte)  🔹 Property Details (1st Floor for Lease)  ▪️ 2 Bedrooms  ▪️ 2 Bathrooms  ▪️ Spacious Sitting Room  ▪️ Dining Room  ▪️ 2 Balconies  ▪️ Garage Available  ✨ Highlights  ▪️ Convenient and highly accessible location  ▪️ Close to Pitakotte town  ▪️ Suitable for small families or working professionals  ▪️ Calm residential neighborhood  💰 Monthly Rent: Rs. 115,000/=  💬 Price Negotiable  📞 Call now to arrange a viewing or for more information.  Rent 115,000 6 Months deposit+ Half a month Real Estate  Show more"
ikman.lk,https://ikman.lk/en/ad/two-storey-fully-furnished-house-for-rent-in-battaramulla-parliament-rd-for-rent-colombo-3,Two Storey Fully Furnished House for Rent in Battaramulla Parliament Rd,300000,"Battaramulla Parliament Rd, Battaramulla, Colombo",2,2,2000,10,Posted on 07 May 5:13 am,Battaramulla,Colombo,"Two Storey Fully Furnished House for Rent in Battaramulla Parliament Rd  Two Bedroom air conditioned   Two Washrooms   Living air conditioned   Dinning   Pantry   Parking   Furnished   Rent 300,000 3 months Deposit + Half a Month Real Estate Charges  Show more"
ikman.lk,https://ikman.lk/en/ad/six-bed-house-for-rent-in-thalawathugoda-semi-furnitured-for-rent-colombo-2,SIX BED HOUSE FOR RENT IN THALAWATHUGODA SEMI FURNITURED,225000,"Hokandara Thalawathugoda, Talawatugoda, Colombo",6,6,5000,8.5,Posted on 07 May 5:01 am,Talawatugoda,Colombo,"SIX BED HOUSE FOR RENT IN THALAWATHUGODA SEMI FURNITURED  ♦️ 3 Storied House for Rent in       Thalawathugoda Semi Furnished   ♦️ Safe and Peaceful Neighborhood   ♦️ Suitable for Working Professional Family or        Office Purposes   ♦️ 5months Refundable Deposit   ♦️ 100m to Hokandara Main Road  ♦️ 300m to Vidura College  ♦️ 5minutes to Thalawathugoda   ♦️ 7minutes to Hokandara Junction   ♦️ 12minites to Athurugiriya Interchange   ♦️ 13minutes to Malabe   ♦️ 6Bedrooms with Ac   ♦️ 6Bathrooms with Hot Water   ♦️ Fully Tiled Floor   ♦️ Living Dining with Pantry with Wet Kitchen   ♦️ Servant Room and Washroom Available   ♦️ Roller Gate Available   ♦️ Parking Space Available   Living Room Furniture not available, Three Beds, Two Wardrobes, one Dressing room, Fridge available)  ♦️ 1/2 MONTH AGENT FEE WILL APPLIED   ♣️ Feel free to call for an appointment or for        more details 📞  Show more"
ikman.lk,https://ikman.lk/en/ad/two-storey-house-for-rent-in-colombo-7-for-rent-colombo-1,Two Storey House for Rent in Colombo 7,749999,"Colombo 7 Dharmapala Mw, Colombo 7, Colombo",3,3,3300,8,Posted on 07 May 4:57 am,Colombo 7,Colombo,"Two Storey House for Rent in Colombo 7   Three rooms - 2 Air-conditioned   Living area  Balconies  Parking one slot inside   2 parkings on private road   Rent 750,000 6 months deposit+ Half a month Real Estate Charges  Viewing based on appointment  Show more"
ikman.lk,https://ikman.lk/en/ad/newly-built-first-floor-house-with-ac-for-rent-delkanda-nugegoda-1692-for-rent-colombo,Newly Built First-Floor House with AC for Rent Delkanda Nugegoda [1692],128000,"Delkanda Nugegoda, Nugegoda, Colombo",2,1,1550,16,Posted on 07 May 1:41 am,Nugegoda,Colombo,"🏡 HOUSE FOR RENT – DELKANDA, NUGEGODA  A newly built, well-designed first-floor house available for rent in a quiet, highly residential area in Delkanda, Nugegoda. Ideal for a small family seeking comfort and convenience.  📍 Prime Location  Just 350m to High Level Road (Delkanda Junction)  Close to Delkanda Railway Station  Easy access to supermarkets, schools, and public transport  🏠 Property Details  Approx. 1550 sq. ft.  2 spacious bedrooms (fully air-conditioned)  Large air-conditioned living room  Modern kitchen with pantry cupboards  1 large bathroom  Spacious, fully tiled balcony surrounding the house  ❄️ Features & Facilities  Fully air-conditioned house (with ceiling fans)  Hot water system  Separate entrance for privacy  Separate electricity & water supply  Secure parking inside roller gate  CCTV security system installed  💰 Rent: Rs. 128,000/- per month  🔐 Advance: Negotiable  💢 Broker Fee: Half Month  👨‍👩‍👧 Preferred Tenant  Small, respectable family  Show more"
ikman.lk,https://ikman.lk/en/ad/for-boys-02-bedroom-furnished-house-rent-in-wellawatte-colombo-06-for-rent-colombo-5,"For Boys 02 Bedroom Furnished House Rent in Wellawatte, Colombo 06",22000,"Galle Road, Arpico Wellawatte, Colombo 6, Colombo",1,1,1400,10,Posted on 06 May 6:04 pm,Colombo 6,Colombo,"02 Bedroom Furnished House for RENT in Wellawatte, Colombo 06.  Features: 01 Bedroom Sharing Furnished House 🏡.  *Only for BOYS*  - 01 Bedroom | 01 Bath  - Hall | Kitchen | Balconies  - Ground Floor Big House   - Security gate | 24/7 CCTV  - Day light + Ventilation   - Galle Road   - Car parking 🅿️   - All Amenities are close proximity  📌 01 Bedrooms Furnished House (per room 03 sharing)  📌 Suitable for Students, Engineers, Working Professional, Executives Only.   [*Per Room 03 Members Sharing*]   Monthly Rent : 22K (per person)  පුද්ගලයෙකුට මාසික කුලිය රු. 22,000/-  ஒரு நபருக்கு மாத வாடகை 22,000/-  [Including Water, Electricity, Maintenance]  03 months deposits.  01 years Term.  Notice Period to 03 months.  [Terms and conditions apply]  Show more"
ikman.lk,https://ikman.lk/en/ad/house-for-rent-nugegoda-full-ac-for-rent-colombo,House for Rent Nugegoda (full Ac),128000,"30d,Somathalagala Mawatha Gangodawila Nugegoda, Nugegoda, Colombo",2,1,1550,17,Posted on 06 May 5:55 pm,Nugegoda,Colombo,"🏡 Full AC HOUSE FOR RENT – DELKANDA, NUGEGODA  A newly built first-floor house available for rent in a quiet and highly residential area in Delkanda, Nugegoda.  📍 Prime Location  - Only 350m to High Level Road (Delkanda Junction)  - Near the Railway Station  - 2 Large Bedrooms (Fully Air-Conditioned)  - Spacious Living Room (Air-Conditioned)  - Modern Kitchen with Pantries  - Large Bathroom  - Large Balcony surrounding the house fully Tiled  ❄️ Features & Facilities  - Entire house fully air-conditioned  (Also with ceiling fans)  - Hot water system  - Separate entrance  - Separate electricity & water supply  - Parking available inside roller gate  - Security camera system installed  👨‍👩‍👧 Preferred Tenant: Small family  💰 Monthly Rent: Rs. 128,000  📞 Serious inquiries only. No Brokers.  Thank you!  Show more"
ikman.lk,https://ikman.lk/en/ad/11-br-house-for-rent-in-koswatta-pdh320-for-rent-colombo-1,11 BR House for Rent in Koswatta - PDH320,420000,"Battaramulla, Colombo",10,10,8000,15,Posted on 06 May 5:47 pm,Battaramulla,Colombo,"11 BR House for Rent in Koswatta  - PDH320  ￭ Battramulla  ￭ 11 Bedrooms  ￭ 10 Bathrooms  ￭ Servant Room & Washroom  ￭ 15 Perches  ￭ 8000 Sqft  ￭ 5 Vehicle Parking  Rs. 420,000 /- Per Month  Property Code: PDH320  (please mention the property code when calling)  Show more"
ikman.lk,https://ikman.lk/en/ad/6-bedrooms-house-for-rent-in-rajagiriya-pdh319-for-rent-colombo,6 Bedrooms House for Rent in Rajagiriya - PDH319,650000,"Rajagiriya, Colombo",6,6,2000,12,Posted on 06 May 5:41 pm,Rajagiriya,Colombo,"6 Bedrooms House for Rent in Rajagiriya - PDH319  ￭ Rajagiriya  ￭ 2 Stories House  ￭ 6 Bedrooms  ￭ 6 Bathrooms  ￭ Semi Furnished  ￭ 2,000 Sqft  ￭ 12.0 Perches  ￭ 4-5 Parking Space  ￭ Air Conditioned  ￭ Back Garden  ￭ Ideal for Office or Residencies   Rs. 650,000 /- Per Month  Property Code: PDH319  (please mention the property code when calling)  Show more"
ikman.lk,https://ikman.lk/en/ad/5-br-house-for-rent-in-colombo-8-pdh318-for-rent-colombo,5 BR House for Rent in Colombo 8. - PDH318,250000,"Colombo 8, Colombo",5,2,3100,0,Posted on 06 May 5:37 pm,Colombo 8,Colombo,"5 BR House for Rent in Colombo 8. - PDH318  ￭ Colombo 8  ￭ 2 Storied House  ￭ 5 Bedrooms  ￭ 2 Bathrooms  ￭ 4 Parking Space  ￭ 3,100 Sqft   ￭ Back Garden  ￭ Ideal for Office or Residencies   ￭ Only for 2 years period of rent.  Rs. 250,000 /- Per Month  Property Code: PDH318  (please mention the property code when calling)  Show more"
